trial,category,focal,targetPresent,responsePresent,duration,tp,fa
453,50,1,0,1,1,0,1
454,51,0,0,0,32,0,0
455,52,0,1,1,1,1,0
456,53,0,0,0,32,0,0
457,54,0,0,0,8,0,0
458,55,1,1,1,2,1,0
459,56,0,0,1,2,0,1
460,57,1,1,1,4,1,0
461,58,1,0,0,2,0,0
462,59,0,1,1,4,1,0
463,60,0,0,0,8,0,0
464,61,0,1,1,16,1,0
465,62,1,1,1,2,1,0
466,63,1,1,1,1,1,0
467,64,0,1,1,16,1,0
468,65,0,1,0,16,0,0
469,66,0,0,0,1,0,0
470,67,1,1,1,2,1,0
471,68,1,0,0,2,0,0
472,69,0,0,0,8,0,0
473,70,1,1,1,8,1,0
474,71,1,1,1,1,1,0
475,72,1,0,0,2,0,0
476,73,0,0,1,32,0,1
477,74,0,1,1,16,1,0
478,75,1,1,1,1,1,0
479,76,0,0,0,4,0,0
480,77,1,1,1,1,1,0
481,78,1,0,0,1,0,0
482,79,1,0,0,4,0,0
483,80,1,1,1,1,1,0
484,1,1,1,1,1,1,0
485,2,0,0,0,2,0,0
486,3,0,0,0,16,0,0
487,4,0,0,1,1,0,1
488,5,1,1,1,16,1,0
489,6,0,1,0,1,0,0
490,7,0,0,1,2,0,1
491,8,0,0,1,1,0,1
492,9,1,1,1,4,1,0
493,10,1,1,1,16,1,0
494,11,1,1,1,32,1,0
495,12,1,0,0,4,0,0
496,13,1,1,1,16,1,0
497,14,1,1,1,4,1,0
498,15,0,1,1,8,1,0
499,16,0,0,1,2,0,1
500,17,1,1,1,32,1,0
501,18,1,0,1,1,0,1
502,19,0,0,0,32,0,0
503,20,0,0,1,1,0,1
504,21,1,0,0,1,0,0
505,22,0,1,0,4,0,0
506,23,0,1,0,2,0,0
507,24,1,0,0,4,0,0
508,25,1,0,0,4,0,0
509,26,1,1,1,8,1,0
510,27,1,1,1,32,1,0
511,28,0,1,0,16,0,0
512,29,0,1,1,4,1,0
513,30,1,0,1,2,0,1
514,31,0,1,1,16,1,0
515,32,0,1,1,8,1,0
516,33,1,1,1,16,1,0
517,34,1,1,1,32,1,0
518,35,0,1,1,8,1,0
519,36,0,1,1,8,1,0
520,37,0,0,0,16,0,0
521,38,1,0,1,2,0,1
522,39,0,0,0,16,0,0
523,40,0,0,1,1,0,1
524,41,0,1,1,2,1,0
525,42,0,1,1,8,1,0
526,43,0,0,1,4,0,1
